Title,Year,Director,Link,Rating,Wins,Nominations,Genres
Jimmy Carter: Rock & Roll President,2020,Mary Wharton,https://www.imdb.com/title/tt11804758/,7.6,3.0,4.0,"['Documentary', 'History', 'Music']"
Spring Blossom,2020,Suzanne Lindon,https://www.imdb.com/title/tt12444426/,5.8,1.0,11.0,"['Drama', 'Romance']"
I Carry You With Me,2020,Heidi Ewing,https://www.imdb.com/title/tt11388990/,6.7,5.0,25.0,['Drama']
Slaxx,2020,Elza Kephart,https://www.imdb.com/title/tt9741310/,5.4,1.0,1.0,"['Comedy', 'Horror']"
Identifying Features,2020,Fernanda Valadez,https://www.imdb.com/title/tt11394282/,7.3,45.0,27.0,['Drama']
"Quo Vadis, Aida?",2020,Jasmila Zbanic,https://www.imdb.com/title/tt8633462/,8.0,40.0,43.0,"['Tragedy', 'Drama', 'History', 'War']"
The Stylist,2020,Jill Gevargizian,https://www.imdb.com/title/tt11056910/,5.6,4.0,5.0,"['Body Horror', 'Drama', 'Horror']"
Slalom,2020,Charlène Favier,https://www.imdb.com/title/tt9697780/,6.6,6.0,16.0,"['Coming-of-Age', 'Psychological Drama', 'Teen Drama', 'Drama', 'Sport']"
Nomadland,2020,Chloé Zhao,https://www.imdb.com/title/tt9770150/,7.3,258.0,159.0,"['Road Trip', 'Tragedy', 'Drama']"
Promising Young Woman,2020,Emerald Fennell,https://www.imdb.com/title/tt9620292/,7.5,118.0,201.0,"['Psychological Thriller', 'Suspense Mystery', 'Tragedy', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Stray,2021,Elizabeth Lo,https://www.imdb.com/title/tt11905922/,6.9,2.0,10.0,['Documentary']
Gagarine,2020,Fanny Liatard,https://www.imdb.com/title/tt12444424/,6.7,7.0,15.0,"['Drama', 'Fantasy']"
Tove,2020,Zaida Bergroth,https://www.imdb.com/title/tt11007444/,6.8,11.0,6.0,"['Period Drama', 'Biography', 'Drama']"
Sword of Trust,2019,Lynn Shelton,https://www.imdb.com/title/tt36170772/,N/A,,,[]
Sword of Trust,2019,Lynn Shelton,https://www.imdb.com/title/tt36170772/,N/A,,,[]
Honey Boy,2019,Alma Har'el,https://www.imdb.com/title/tt8151874/,7.2,10.0,41.0,"['Coming-of-Age', 'Drama']"
Raise Hell: The Life & Times of Molly Ivins,2019,Janice Engel,https://www.imdb.com/title/tt9129296/,8.0,4.0,2.0,['Documentary']
The Mustang,2019,Laure de Clermont-Tonnerre,https://www.imdb.com/title/tt5952594/,6.8,6.0,10.0,"['Prison Drama', 'Psychological Drama', 'Drama']"
A Beautiful Day in the Neighborhood,2019,Marielle Heller,https://www.imdb.com/title/tt3224458/,7.2,10.0,64.0,"['Docudrama', 'Biography', 'Drama', 'Family']"
Little Women,2019,Greta Gerwig,https://www.imdb.com/title/tt3281548/,7.8,78.0,239.0,"['Coming-of-Age', 'Costume Drama', 'Holiday Romance', 'Period Drama', 'Teen Drama', 'Teen Romance', 'Drama', 'Romance']"
Hail Satan?,2019,Penny Lane,https://www.imdb.com/title/tt9358044/,7.3,5.0,20.0,"['Faith & Spirituality Documentary', 'Documentary']"
American Factory,2019,Steven Bognar,https://www.imdb.com/title/tt9351980/,7.4,19.0,50.0,"['Science & Technology Documentary', 'Documentary']"
Booksmart,2019,Olivia Wilde,https://www.imdb.com/title/tt1489887/,7.1,29.0,61.0,"['Buddy Comedy', 'Coming-of-Age', 'Teen Comedy', 'Comedy']"
Making Waves: The Art of Cinematic Sound,2019,Midge Costin,https://www.imdb.com/title/tt3856408/,7.6,1.0,10.0,"['Documentary', 'History']"
The Kingmaker,2019,Lauren Greenfield,https://www.imdb.com/title/tt5105734/,7.6,2.0,14.0,"['History Documentary', 'Biography', 'Documentary', 'History']"
The Farewell,2019,Lulu Wang,https://www.imdb.com/title/tt8637428/,7.5,37.0,194.0,"['Coming-of-Age', 'Quirky Comedy', 'Comedy', 'Drama']"
One Child Nation,2019,Nanfu Wang,https://www.imdb.com/title/tt8923482/,7.5,10.0,50.0,"['Documentary', 'History']"
For Sama,2019,Edward Watts,https://www.imdb.com/title/tt9617456/,8.5,71.0,52.0,"['Military Documentary', 'Biography', 'Documentary', 'War']"
Atlantics,2019,Mati Diop,https://www.imdb.com/title/tt10199586/,6.7,13.0,64.0,"['Drama', 'Fantasy', 'Mystery', 'Romance']"
Varda by Agnès,2019,Agnès Varda,https://www.imdb.com/title/tt9530198/,7.8,2.0,3.0,"['Biography', 'Documentary']"
Mickey and the Bear,2019,Annabelle Attanasio,https://www.imdb.com/title/tt9614440/,6.6,5.0,15.0,['Drama']
Honeyland,2019,Ljubo Stefanov,https://www.imdb.com/title/tt8991268/,8.0,37.0,55.0,"['Documentary', 'Drama']"
Portrait of a Lady on Fire,2019,Céline Sciamma,https://www.imdb.com/title/tt8613070/,8.1,60.0,164.0,"['Steamy Romance', 'Drama', 'Romance']"
The Assistant,2019,Kitty Green,https://www.imdb.com/title/tt9000224/,6.3,5.0,25.0,"['Workplace Drama', 'Drama']"
Hope,2019,Maria Sødahl,https://www.imdb.com/title/tt9145334/,7.7,1.0,7.0,"['Feel-Good Romance', 'Period Drama', 'Drama', 'Romance', 'Western']"
Saint Maud,2019,Rose Glass,https://www.imdb.com/title/tt7557108/,6.7,11.0,33.0,"['Psychological Horror', 'Psychological Thriller', 'Suspense Mystery', 'Tragedy', 'Drama', 'Horror', 'Mystery', 'Thriller']"
First Cow,2019,Kelly Reichardt,https://www.imdb.com/title/tt9231040/,7.1,28.0,158.0,"['Classical Western', 'Period Drama', 'Drama', 'Western']"
Blow the Man Down,2019,Bridget Savage Cole,https://www.imdb.com/title/tt8299768/,6.4,1.0,13.0,"['Dark Comedy', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']"
The Long Walk,2019,Mattie Do,https://www.imdb.com/title/tt6800268/,6.9,5.0,4.0,"['Drama', 'Horror', 'Mystery', 'Sci-Fi']"
Science Fair,2018,Cristina Costantini,https://www.imdb.com/title/tt7153434/,7.5,15.0,9.0,"['Science & Technology Documentary', 'Documentary']"
Free Solo,2018,Elizabeth Chai Vasarhelyi,https://www.imdb.com/title/tt7775622/,8.1,31.0,54.0,"['Extreme Sport', 'Mountain Adventure', 'Sports Documentary', 'Adventure', 'Documentary', 'Sport']"
On Her Shoulders,2018,Alexandria Bombach,https://www.imdb.com/title/tt7689484/,7.3,13.0,17.0,"['Biography', 'Documentary']"
Rafiki,2018,Wanuri Kahiu,https://www.imdb.com/title/tt8286894/,6.8,19.0,26.0,"['Drama', 'Romance']"
To All the Boys I've Loved Before,2018,Susan Johnson,https://www.imdb.com/title/tt3846674/,7.0,5.0,11.0,"['Romantic Comedy', 'Teen Comedy', 'Teen Drama', 'Teen Romance', 'Comedy', 'Drama', 'Romance']"
Dark Money,2018,Kimberly Reed,https://www.imdb.com/title/tt6633182/,7.1,4.0,14.0,"['Political Documentary', 'Documentary']"
Kusama: Infinity,2018,Heather Lenz,https://www.imdb.com/title/tt1893269/,7.3,1.0,7.0,['Documentary']
Little Woods,2018,Nia DaCosta,https://www.imdb.com/title/tt6418918/,6.2,6.0,6.0,"['Crime', 'Drama', 'Western']"
Private Life,2018,Tamara Jenkins,https://www.imdb.com/title/tt5536610/,7.2,1.0,19.0,"['Quirky Comedy', 'Comedy', 'Drama']"
Be Natural: The Untold Story of Alice Guy-Blaché,2018,Pamela B. Green,https://www.imdb.com/title/tt3146022/,7.7,11.0,11.0,"['Biography', 'Documentary', 'History']"
Birds of Passage,2018,Cristina Gallego,https://www.imdb.com/title/tt6386748/,7.5,30.0,42.0,"['Crime', 'Drama']"
RBG,2018,Betsy West,https://www.imdb.com/title/tt7689964/,7.6,13.0,51.0,"['Political Documentary', 'Biography', 'Documentary']"
Pick of the Litter,2018,Dana Nachman,https://www.imdb.com/title/tt5644050/,7.6,8.0,4.0,['Documentary']
The Chambermaid,2018,Lila Avilés,https://www.imdb.com/title/tt8331988/,7.0,13.0,36.0,['Drama']
Can You Ever Forgive Me?,2018,Marielle Heller,https://www.imdb.com/title/tt4595882/,7.1,54.0,102.0,"['Docudrama', 'Period Drama', 'True Crime', 'Biography', 'Comedy', 'Crime', 'Drama']"
Too Late to Die Young,2018,Dominga Sotomayor,https://www.imdb.com/title/tt8726098/,6.4,6.0,17.0,['Drama']
Leave No Trace,2018,Debra Granik,https://www.imdb.com/title/tt3892172/,7.1,18.0,92.0,"['Adventure', 'Drama']"
Night Comes On,2018,Jordana Spiro,https://www.imdb.com/title/tt7184124/,6.7,9.0,6.0,['Drama']
